order_id,timestamp,symbol,entry_price,exit_price,quantity,pnl,percentage_gain,take_profit_price,stop_loss_price,trade_duration_minutes,result
8300295,2025-03-22 07:57:41,BTCUSDT,84114.0,83865.63,0.01188,-2.95,-0.3,84248.02,83971.27,19.65,STOP_LOSS
8300671,2025-03-22 07:57:41,BTCUSDT,84139.13,83865.63,0.01188,-3.25,-0.33,84313.21,84007.95,17.66,STOP_LOSS
8301148,2025-03-22 07:57:41,BTCUSDT,84147.89,83865.63,0.01188,-3.35,-0.34,84323.9,84021.33,16.66,STOP_LOSS
8301538,2025-03-22 07:57:42,BTCUSDT,84165.9,83865.63,0.01188,-3.57,-0.36,84337.65,84036.15,15.67,STOP_LOSS
8305723,2025-03-22 07:57:42,BTCUSDT,84147.34,83865.63,0.01188,-3.35,-0.33,84388.97,84026.53,4.68,STOP_LOSS
8306383,2025-03-22 07:57:43,BTCUSDT,84137.16,83865.63,0.01188,-3.23,-0.32,84180.92,84027.19,0.69,STOP_LOSS
8351735,2025-03-22 10:40:12,BTCUSDT,84350.37,84360.0,0.01185,0.11,0.01,84358.04,84302.51,5.13,TAKE_PROFIT
8352826,2025-03-22 10:40:13,BTCUSDT,84336.8,84360.0,0.01185,0.27,0.03,84357.84,84275.58,1.14,TAKE_PROFIT
8351269,2025-03-22 10:42:01,BTCUSDT,84354.8,84374.34,0.01185,0.23,0.02,84369.24,84301.51,7.95,TAKE_PROFIT
8357154,2025-03-22 10:57:09,BTCUSDT,84375.13,83515.37,0.01185,-10.19,-1.02,84510.23,84321.25,7.05,STOP_LOSS
8357540,2025-03-22 10:57:10,BTCUSDT,84375.14,83515.37,0.01185,-10.19,-1.02,84484.11,84334.04,6.09,STOP_LOSS
8357699,2025-03-22 10:57:10,BTCUSDT,84409.46,83515.37,0.01184,-10.59,-1.06,84580.91,84372.33,5.09,STOP_LOSS
8357891,2025-03-22 10:57:11,BTCUSDT,84409.47,83515.37,0.01184,-10.59,-1.06,84663.89,84370.05,4.08,STOP_LOSS
8358073,2025-03-22 10:57:11,BTCUSDT,84429.08,83515.37,0.01184,-10.82,-1.08,84728.97,84389.77,3.09,STOP_LOSS
8358236,2025-03-22 10:57:11,BTCUSDT,84414.49,83515.37,0.01184,-10.65,-1.07,84666.06,84371.28,2.11,STOP_LOSS
8358376,2025-03-22 10:57:12,BTCUSDT,84400.44,83515.37,0.01184,-10.48,-1.05,84527.87,84356.45,1.12,STOP_LOSS
8358446,2025-03-22 10:57:12,BTCUSDT,84382.34,83515.37,0.01185,-10.27,-1.03,84475.52,84335.75,0.11,STOP_LOSS
8359030,2025-03-22 11:00:05,BTCUSDT,84366.68,84308.11,0.01185,-0.69,-0.07,84474.83,84312.61,2.02,STOP_LOSS
8373993,2025-03-22 11:40:49,BTCUSDT,84395.28,84302.71,0.01184,-1.1,-0.11,84682.91,84323.05,6.72,STOP_LOSS
8374298,2025-03-22 11:40:49,BTCUSDT,84397.33,84302.71,0.01184,-1.12,-0.11,84730.28,84330.19,5.74,STOP_LOSS
8374525,2025-03-22 11:40:49,BTCUSDT,84397.33,84302.71,0.01184,-1.12,-0.11,84712.6,84334.32,4.73,STOP_LOSS
8374698,2025-03-22 11:40:50,BTCUSDT,84389.58,84302.71,0.01184,-1.03,-0.1,84636.8,84330.8,3.75,STOP_LOSS
8376047,2025-03-22 11:42:35,BTCUSDT,84372.51,84287.49,0.01185,-1.01,-0.1,84531.25,84293.14,1.5,STOP_LOSS
8376433,2025-03-22 11:42:36,BTCUSDT,84372.5,84287.49,0.01185,-1.01,-0.1,84387.66,84291.55,0.52,STOP_LOSS
8379533,2025-03-22 11:57:45,BTCUSDT,84379.98,84306.83,0.01185,-0.87,-0.09,84523.75,84313.61,2.65,STOP_LOSS
8388107,2025-03-22 12:18:24,BTCUSDT,84289.83,84334.05,0.01186,0.52,0.05,84312.78,84191.19,1.3,TAKE_PROFIT
8430595,2025-03-22 14:38:55,BTCUSDT,84239.13,84277.79,0.01187,0.46,0.05,84266.64,84161.59,1.73,TAKE_PROFIT
8430249,2025-03-22 14:39:07,BTCUSDT,84239.14,84096.15,0.01187,-1.7,-0.17,84317.38,84160.78,2.79,STOP_LOSS
8430908,2025-03-22 14:47:13,BTCUSDT,84309.79,84043.62,0.01186,-3.16,-0.32,84426.06,84235.49,8.07,STOP_LOSS
8431118,2025-03-22 14:47:14,BTCUSDT,84309.56,84043.62,0.01186,-3.15,-0.32,84538.42,84233.17,7.08,STOP_LOSS
8431395,2025-03-22 14:47:16,BTCUSDT,84314.42,84043.62,0.01186,-3.21,-0.32,84585.55,84235.98,6.12,STOP_LOSS
